My rating,Original Title,Year
6,"You, Me and the Apocalypse",2015
7,The Place,2017
7,Shot Caller,2017
7,Der Fall Collini,2019
8,Don't F**k with Cats: Hunting an Internet Killer,2019
9,Black Sails,2014-2017
6,The A-Team,2010
7,Breathe,2017
6,Vivarium,2019
7,Begin again,2013
7,Les Lyonnais,2010
8,Les triplettes de Belleville,2003
8,Edmond,2018
8,Palmeras en la nieve,2015
6,Thanks for Sharing,2012
7,The Congress,2013
8,Searching,2018
9,L'incroyable histoire du facteur Cheval,2018
7,Un monstre à Paris,2010
6,Tom and Jerry,2021
6,Wild Target,2009
8,Vice,2018
6,A Long Way Down,2013
7,Halt and Catch Fire,2014-2017
7,Hasta la vista,2011
7,Alita: Battle Angel,2019
8,The Bold Type,2017-2021
5,Blindspotting,2018
7,Minamata,2020
8,Boyhood,2014
9,Before Midnight,2013
9,Before Sunset,2004
9,Before Sunrise,1995
8,"Synecdoche, New York",2008
8,Stranger Than Fiction,2006
8,Werk ohne Autor,2018
8,Memoirs of a Geisha,2005
6,Le mac,2009
7,Wrath of Man,2021
9,Retfærdighedens ryttere,2020
7,Gifted,2017
7,The Lincoln Lawyer,2011
10,Lastman,2016-2022
9,The Theory of Everything,2014
8,Over the Garden Wall,2014
9,Atonement,2007
8,RocknRolla,2008
7,The Physician,2013
7,Upgrade,2018
8,Wonder,2017
8,Gattaca,1997
8,Taeksi woonjunsa,2017
6,The World's End,2013
7,Café Society,2016
7,,2012
8,Turist,2014
6,Nosotros los Nobles,2013
7,The Road Within,2014
7,Palm Springs,2020
7,Mid90s,2018
8,Community,2009-2015
7,Mein Blind Date mit dem Leben,2017
8,Druk,2020
6,Zack Snyder's Justice League,2021
9,Capharnaüm,2018
8,Isle of Dogs,2018
7,Tenet,2020
10,Der Untergang,2004
9,Dark,2017-2020
7,Masters of Sex,2013-2016
6,The Professor,2018
7,Tarantula,2017
8,Great Teacher Onizuka,1999-2000
7,Love the Coopers,2015
7,How to Steal a Million,1966
7,Soul Kitchen,2009
6,Motorpsycho!,1965
4,The Immoral Mr. Teas,1959
9,Avatar: The Last Airbender,2005-2008
7,Humans,2015-2018
5,Friends with Kids,2012
7,Artificial Intelligence: AI,2001
9,Scarface,1983
7,Mistresses,2013-2016
8,Brad's Status,2017
7,War for the Planet of the Apes,2017
5,Men in Black International,2019
6,Zombieland: Double Tap,2019
9,Once Upon a Time in... Hollywood,2019
6,Dawn of the Planet of the Apes,2014
6,Divino Amor,2019
5,Amor Estranho Amor,1982
6,Curiosa,2019
7,Dollface,2019-2022
8,The Founder,2016
7,La mirada del otro,1998
8,Kommunalka,2008
5,Single by 30,2016
9,Kimi no na wa.,2016
6,Vanity Fair,2018
6,Elizabeth I,2005
6,Egon Schiele - Exzesse,1980
7,Great Expectations,2011
7,Sanditon,2019-2023
,A Thought of Ecstasy,2017
8,Another Day in Paradise,1998
10,The Young Pope,2016
7,Little Thirteen,2012
8,War & Peace,2016
8,Pride and Prejudice,1995
7,Interstate 60: Episodes of the Road,2001
6,Om det oändliga,2019
10,Mad Men,2007-2015
7,The Personal History of David Copperfield,2019
6,Rise of the Planet of the Apes,2011
6,,2018
7,A Good Year,2006
8,The Guernsey Literary and Potato Peel Pie Society,2018
7,Planet of the Apes,2001
8,Ford v Ferrari,2019
9,Scent of a Woman,1992
8,,1966
9,Hachi: A Dog's Tale,2008
9,Pirates of the Caribbean: The Curse of the Black Pearl,2003
10,12 Angry Men,1956
10,One Flew Over the Cuckoo's Nest,1975
10,American History X,1998
10,Catch Me If You Can,2002
10,Back to the Future,1985
8,,1968
8,,1965
10,A Beautiful Mind,2001
10,The Prestige,2006
10,Schindler's List,1993
10,Intouchables,2011
10,Forrest Gump,1994
10,The Lion King,1994
8,,1973
10,Fight Club,1999
10,Knockin' on Heaven's Door,1997
10,The Godfather,1972
6,Why Him?,2016
8,Balance,1989
9,Lost,2004-2010
9,,2018
9,,2017
6,Heartbreakers,2001
6,Ice Age: The Meltdown,2006
8,The Foreigner,2017
7,American Ultra,2015
9,Toni Erdmann,2016
7,Hector and the Search for Happiness,2014
8,The Shivering Truth,2018-2020
6,Anon,2018
8,Paddington 2,2017
7,Chappie,2015
8,Paddington,2014
9,Little Miss Sunshine,2006
7,Tucker and Dale vs Evil,2010
8,Youth,2015
7,Harley Quinn,2019
10,Scener ur ett äktenskap,1974
8,Birdman or (The Unexpected Virtue of Ignorance),2014
9,BoJack Horseman,2014-2020
6,Knocked Up,2007
7,Juno,2007
7,City Island,2009
8,The Peanut Butter Falcon,2019
7,Premières vacances,2018
6,Jumanji: Welcome to the Jungle,2017
8,The Gentlemen,2020
6,Demain tout commence,2016
6,The Hitman's Bodyguard,2017
9,Midsommar,2019
8,Knives Out,2019
6,Long Shot,2019
6,,1969-2006
8,,1972
8,,1971
8,,1980
8,,1969
7,,1978
7,,1982
8,12 Years a Slave,2013
8,Dirk Gently's Holistic Detective Agency,2016-2017
10,Fleabag,2016-2019
8,Freaks and Geeks,1999-2000
6,Tag der Idioten,1981
5,Blanche comme neige,2018
7,Egon Schiele: Tod und Mädchen,2016
7,Logorama,2009
5,The Girlfriend Experience,2009
7,Tengen toppa gurren lagann,2007
7,Kids,1995
6,Hokusai manga,1981
10,The Big Bang Theory,2007-2019
10,The Office,2005-2013
5,Happy Few,2010
8,,2002
7,The Maxx,1995
8,Akira,1988
8,Tekkon kinkurîto,2006
5,Senso '45,2002
8,The Last Man on Earth,2015-2018
7,Direktøren for det hele,2006
5,,2016
6,Satisfaction,2007-2010
7,The End of the F***ing World,2017-2019
7,8-pallo,2013
6,2 Days in the Valley,1996
7,Seinfeld,1989-1998
8,How I Met Your Mother,2005-2014
,Die Marquise von Sade,1976
8,Kôkaku kidôtai,1995
8,Gisaengchung,2019
9,Sen to Chihiro no kamikakushi,2001
9,Howl no Ugoku Shiro,2004
7,Un moment d'égarement,2015
7,It Chapter Two,2019
5,Rocco,2016
6,Fritz the Cat,1972
6,The Image,1975
9,The Man Who Invented Christmas,2017
6,CHIPS,2017
5,My Awkward Sexual Adventure,2012
8,Big Little Lies,2017
6,Dolemite Is My Name,2019
7,Meet Me in St. Louis,1944
6,Aladdin,2019
7,Shazam!,2019
8,Edward Scissorhands,1990
7,Pokémon: Detective Pikachu,2019
7,Jobs,2013
6,The Internship,2013
10,Silicon Valley,2014-2019
8,Deep Space 69,2012
7,Coup de torchon,1981
7,"Planes, Trains & Automobiles",1987
6,Due Date,2010
5,Dieses bescheuerte Herz,2017
6,Furious 6,2013
6,Fast & Furious Presents: Hobbs & Shaw,2019
6,Fast & Furious 7,2015
6,The Postman Always Rings Twice,1981
5,Satisfaction,2014-2015
4,The Dating Guy,2009-2010
7,"Marti, dupa Craciun",2010
8,Gia,1998
7,The Grand Seduction,2013
10,Joker,2019
7,The Lion King,2019
8,Adams æbler,2005
6,Dressed to Kill,1980
7,Bully,2001
9,C.R.A.Z.Y.,2005
7,Spider-Man: Far from Home,2019
7,The Magic of Belle Isle,2011
9,Narcos,2015-2017
6,Qu'est-ce qu'on a fait au bon Dieu?,2014
8,Perfectos desconocidos,2017
8,Apocalypto,2006
7,The English Patient,1996
8,Casablanca,1942
8,The Florida Project,2017
8,Thank You for Smoking,2005
8,Moonrise Kingdom,2012
8,Gravity Falls,2012-2016
9,La grande bellezza,2013
6,Hunt for the Wilderpeople,2016
6,Risky Business,1983
7,Green Book,2018
6,Aquaman,2018
8,Spider-Man: Into the Spider-Verse,2018
6,Art School Confidential,2005
8,Banshee,2013-2016
6,Contes immoraux,1974
6,Bolt,2008
7,Mezo forute,2000-2001
6,Hey Good Lookin',1982
7,Heavy Metal,1981
7,Beautiful Corruption,2018
7,"Ruben Brandt, a gyujto",2018
7,Double Indemnity,1944
7,Ladri di biciclette,1948
8,,2014
7,Skam,2015-2017
10,Chernobyl,2019
8,What's Eating Gilbert Grape,1993
6,Life as We Know It,2004-2005
7,Skins,2007-2013
10,"Love, Death & Robots",2019
5,Submission,2016
3,Stripperella,2003-2004
8,Valerian and the City of a Thousand Planets,2017
7,Ready Player One,2018
8,Reservoir Dogs,1991
7,Bad Times at the El Royale,2018
6,Gone Baby Gone,2007
7,Choke,2008
8,Breaking the Waves,1996
7,En man som heter Ove,2015
6,Kite,1998
8,Avengers: Infinity War,2018
5,Ren & Stimpy 'Adult Party Cartoon',2003
10,Le fantôme de la liberté,1974
6,Vidocq,2001
9,Spicy City,1997
6,The Haunted World of El Superbeasto,2009
4,Lil' Pimp,2005
6,,2016
9,Filth,2013
7,Don Jon,2013
8,Shame,2011
10,Paprika,2006
6,Project Almanac,2014
9,Predestination,2013
6,The Wedding Date,2005
7,Spin,2005
7,"Boogie, el aceitoso",2009
7,Beowulf,2007
7,Logan,2017
7,,2005
10,Full Metal Jacket,1987
1,Josefine Mutzenbacher - Manche mögen's heiß,1992
2,Mache alles mit,1971
6,Matador,1986
9,Nunta muta,2008
10,Baraka,1992
6,Venom,2018
5,Romance,1999
7,The Little Death,2014
8,The Kentucky Fried Movie,1977
6,Christmas Cottage,2008
6,,2006-2011
9,The Nightmare Before Christmas,1993
10,Dekalog,1989-1990
7,Little Britain,2003-2006
5,Deuce Bigalow: European Gigolo,2005
6,Deuce Bigalow: Male Gigolo,1999
10,The Twilight Zone,1959-1964
6,Fred Claus,2007
7,Elf,2003
7,Joulutarina,2007
7,A Christmas Carol,2009
7,How the Grinch Stole Christmas,2000
10,Bref.,2011-2012
8,Negative Space,2017
3,Traffic Stop,2017
7,DeKalb Elementary,2017
6,Watu Wote: All of Us,2017
10,The Eleven O'Clock,2016
7,Het rijexamen,2005
10,The Gunfighter,2013
10,The Wire,2002-2008
6,No mires para abajo,2008
3,Huet luen,1995
2,Picture of Beauty,2017
7,Les enfants du paradis,1945
6,The Family Stone,2005
7,The Proposal,2009
8,George Carlin: Life Is Worth Losing,2005
6,Lie with Me,2005
7,White Palace,1990
7,Ken Park,2002
8,"Sex, Lies, and Videotape",1989
7,Todo sobre mi madre,1999
9,Polissons et galipettes,2002
8,Bodysong,2003
3,Historia sexual de O,1984
2,Josefine Mutzenbacher II - Meine 365 Liebhaber,1971
6,Further Tales of the City,2001-2002
8,Tell Me You Love Me,2007
7,"Se, jie",2007
7,Quills,2000
8,Molière,2007
7,Shakespeare in Love,1998
9,Lucía y el sexo,2001
7,L'amant,1991
8,Carne trémula,1997
7,La ley del deseo,1986
9,American Beauty,1999
7,Little Children,2006
9,Kika,1993
7,Wild Things,1998
8,Eyes Wide Shut,1999
8,Dangerous Liaisons,1988
6,Body Double,1984
8,37°2 le matin,1986
6,Átame!,1989
7,The Mask of Zorro,1998
8,The Devil's Advocate,1997
7,Angel Heart,1987
8,Abre los ojos,1997
6,Dream Lover,1993
6,10,1979
7,Fatal Attraction,1987
7,Wild at Heart,1990
6,Game Night,2018
6,An Officer and a Gentleman,1982
6,The Last Seduction,1994
6,Lolita,1961
6,Don't Look Now,1973
6,Breathless,1983
5,Showgirls,1995
6,Henry & June,1990
8,The Dreamers,2003
9,Boogie Nights,1997
6,Bound,1996
7,Blue Velvet,1986
6,Spider-Man 3,2007
6,The Amazing Spider-Man,2012
6,Spider-Man: Homecoming,2017
6,Code Blue,2011
9,The Piano,1992
7,Funny Games,2007
9,La Pianiste,2001
6,Lara Croft Tomb Raider: The Cradle of Life,2003
6,Lara Croft: Tomb Raider,2001
6,Tomb Raider,2018
10,Deadpool 2,2018
6,Rogue Trader,1999
8,Los olvidados,1950
6,,2006
6,What the Health,2017
8,Metropolis,1927
8,Per qualche dollaro in più,1965
9,La vie d'Adèle,2013
8,Entre les murs,2008
6,Manhunt,2017-2020
7,Chikubi ni piasu o shita onna,1983
7,Rango,2011
8,Chinatown,1974
10,"Lock, Stock and Two Smoking Barrels",1998
6,Totally Nude Aerobics,1997
10,Casino,1995
7,Trainspotting,1996
5,Free the Nipple,2013
8,Toast of London,2012
8,Monty Python Live at the Hollywood Bowl,1982
9,Heat,1995
6,Tom Segura: Mostly Stories,2016
8,Monty Python Live (mostly),2014
8,Rashômon,1950
8,Blade Runner,1982
5,Skin to the Max,2011-2012
5,Fifty Shades Freed,2018
7,Fifty Shades of Black,2016
5,Fifty Shades Darker,2017
4,L'idéal,2016
5,Fifty Shades of Grey,2015
6,Fucking Berlin,2016
9,The Sting,1973
8,It's a Wonderful Life,1946
9,Paths of Glory,1957
8,The King's Speech,2010
7,Aufzeichnungen zu Kleidern und Städten,1989
9,Vertigo,1958
8,"Ana, mon amour",2017
6,Shortbus,2006
6,Eat Pray Love,2010
10,2001: A Space Odyssey,1967
7,Moonlight,2016
9,Kage no eiga: Nitô-onna,1977
10,Goodfellas,1990
10,The Departed,2006
9,L.A. Confidential,1997
6,"Hail, Caesar!",2016
9,Taxi Driver,1976
,Vincent,1982
5,The Lady and the Reaper (La dama y la muerte),2009
7,This Way Up,2008
8,Body Heat,1981
9,Fa yeung nin wah,2000
9,La vita è bella,1997
9,Toilet - Ek Prem Katha,2017
6,He's Just Not That Into You,2008
9,Once Upon a Time in America,1983
8,Sex and the City,1998-2004
8,Californication,2007-2014
8,The Great Gatsby,2013
10,The Wolf of Wall Street,2013
8,Citizen Kane,1941
9,Contratiempo,2016
10,Samsara,2011
9,"Three Billboards Outside Ebbing, Missouri",2017
5,Below Her Mouth,2016
7,Kanashimi no Beradonna,1973
8,Zeitgeist,2007
9,Helvetica,2007
9,Le trou,1960
10,Hotaru no Haka,1988
8,Coco,2017
8,Sunset Blvd.,1950
10,Scener ur ett äktenskap,1973
9,Suna no onna,1963
9,Paterson,2016
9,Hot Fuzz,2007
7,American Hustle,2013
8,The Story of Stuff,2007
8,,1972
8,Wristcutters: A Love Story,2006
9,Amour,2012
8,The Pervert's Guide to Cinema,2006
9,The Graduate,1967
7,And Now for Something Completely Different,1971
10,The Silence of the Lambs,1990
7,The Amityville Horror,2005
9,The Shining,1980
6,Twin Sitters,1994
6,High-Rise,2015
7,Moana,2016
7,Midnight in Paris,2011
6,Out There,2013
6,Shureitachi,2007
9,Rome,2005-2007
8,Zootopia,2016
9,Nocturnal Animals,2016
8,The Life & Times of Tim,2008-2012
9,Chi bi: Jue zhan tian xia,2008
7,Office Space,1999
7,Magnolia,1999
7,Elle,2016
8,Nightcrawler,2013
8,Allied,2016
6,This Means War,2012
8,Steve Jobs: The Man in the Machine,2015
8,Benny's Video,1992
6,The King of Ads,1991
10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
8,Who Killed the Electric Car?,2006
6,21 & Over,2013
6,Duplex,2003
7,Project X,2012
5,Neighbors 2: Sorority Rising,2016
6,Neighbors,2014
10,Shameless,2011-2021
7,17 Again,2009
5,Charlie's Angels: Full Throttle,2003
6,Charlie's Angels,2000
6,Bedtime Stories,2008
8,Marley & Me,2008
7,Meet the Fockers,2004
6,The Switch,2010
7,Horrible Bosses 2,2014
10,Friends,1994-2004
8,Mr. Church,2016
8,Objectified,2009
6,Destricted,2006
10,Marina Abramovic: The Artist Is Present,2012
6,Chroniques sexuelles d'une famille d'aujourd'hui,2012
8,Nymphomaniac: Vol. II,2013
6,,2000
10,Nuovo Cinema Paradiso,1988
8,The Secret Rules of Modern Living: Algorithms,2015
8,Lo and Behold: Reveries of the Connected World,2016
7,Nude,2017
9,Psycho,1960
7,Shichinin no samurai,1954
7,Life as We Know It,2010
9,,1962
9,City Lights,1931
8,Manifesto,2015
8,The Meaning of Life,1983
8,Life of Brian,1979
8,Monty Python and the Holy Grail,1975
9,The Square,2017
9,The Jungle Book,2016
7,A Dangerous Method,2011
8,Inside Man,2006
7,Public Enemies,2009
8,The Town,2010
8,Hell or High Water,2016
6,Maze Runner: The Death Cure,2018
7,Maze Runner: The Scorch Trials,2015
7,The Maze Runner,2014
7,Scott Pilgrim vs. the World,2010
8,The Brink,2015
9,Lion,2016
8,Everything Is Illuminated,2005
6,Crimson Peak,2015
8,Flight,2012
8,Sully,2016
5,Into the Blue,2005
7,The Beach,2000
8,Doctor Strange,2016
6,The Nice Guys,2016
7,Jian yu,2010
5,Eddie the Eagle,2015
8,Chi bi,2008
7,Scary Movie 2,2001
7,Scary Movie,2000
8,Back to the Future Part III,1990
9,Django Unchained,2012
10,Movie 43,2013
5,Garfield,2004
8,Ted 2,2015
8,Lost in Translation,2003
10,WALL·E,2008
7,Passengers,2016
8,District 9,2009
8,Children of Men,2006
8,The Thirteenth Tale,2013
7,Kick-Ass,2010
8,The Man from U.N.C.L.E.,2015
7,Spy,2015
8,Kingsman: The Secret Service,2015
8,Guardians of the Galaxy,2014
6,Baby Driver,2017
8,Léon,1994
8,Drive,2011
10,Interstellar,2014
9,Moon,2009
8,Pulp Fiction,1994
9,Se7en,1995
9,No Country for Old Men,2007
10,Captain Fantastic,2016
7,Naked Lunch,1991
7,Hable con ella,2002
8,The Secret Life of Walter Mitty,2013
9,The Straight Story,1999
8,Le scaphandre et le papillon,2007
7,The Green Hornet,2011
9,Salinui chueok,2003
8,Snowpiercer,2013
7,Gran Torino,2008
7,Mulholland Dr.,2001
5,27 Dresses,2008
9,Never Let Me Go,2010
7,Repo Men,2009
9,Get Out,2017
7,This Is Where I Leave You,2014
6,Griffin & Phoenix,2006
9,The Sunset Limited,2010
9,Boiler Room,2000
8,Glengarry Glen Ross,1992
9,Gegen die Wand,2003
5,You Again,2010
5,Bride Wars,2009
7,Bridesmaids,2011
8,El secreto de sus ojos,2009
6,Happy-Go-Lucky,2008
7,Blade II,2002
8,Coraline,2008
8,The Fall,2006
8,El laberinto del fauno,2006
8,Me and Earl and the Dying Girl,2015
6,Double Jeopardy,1999
8,Ying xiong,2002
6,The Voices,2014
8,La Vénus à la fourrure,2013
7,Jeux d'enfants,2003
5,Bridget Jones: The Edge of Reason,2004
6,It,1990
7,It,2017
7,The Big White,2004
,,2007
8,Jagten,2012
7,The Magnificent Seven,2016
6,Bridget Jones's Diary,2001
6,300: Rise of an Empire,2013
7,The Big Kahuna,1999
6,A Lot Like Love,2005
6,,2013
7,Spartacus: Blood and Sand,2010-2013
7,Spartacus: Gods of the Arena,2011
6,Transporter 3,2008
6,Safe,2012
7,The Equalizer,2014
8,Man on Fire,2004
10,Game of Thrones,2011-2019
8,,1987
8,Calvary,2013
7,8 femmes,2001
7,Ace Ventura: Pet Detective,1993
6,Liar Liar,1997
7,The Boat That Rocked,2009
7,Love Actually,2003
7,Inside I'm Dancing,2004
6,Blade: Trinity,2004
5,R.I.P.D.,2013
7,Lola rennt,1998
8,11:14,2003
8,August: Osage County,2013
6,Fargo,1995
9,The Hateful Eight,2015
7,Raising Arizona,1987
5,Loverboy,1989
6,A Little Bit of Heaven,2010
8,Bicentennial Man,1999
7,Closer,2004
6,,2011
6,Sleeping with the Enemy,1991
8,Carnage,2011
7,Inside Llewyn Davis,2012
7,Redirected,2014
7,Le prénom,2012
7,The Air I Breathe,2007
6,Inherent Vice,2014
6,Paper Towns,2015
6,Fun with Dick and Jane,2005
7,What About Bob?,1991
6,Analyze That,2002
7,Anger Management,2003
7,Analyze This,1999
7,Me Before You,2016
7,The Fault in Our Stars,2014
7,Tropic Thunder,2008
6,The Men Who Stare at Goats,2009
8,In the Valley of Elah,2007
6,Killing Me Softly,2001
6,Date Night,2010
7,Unfaithful,2002
6,Partir,2009
7,Lone Survivor,2013
5,Enemy of the State,1998
6,Kong: Skull Island,2017
7,Wrongfully Accused,1998
7,Edge of Darkness,2010
5,"Dude, Where's My Car?",2000
7,Bad Santa,2003
8,The Big Lebowski,1998
7,Korgoth of Barbaria,2006
7,Alois Nebel,2011
7,Pour elle,2008
8,The Perks of Being a Wallflower,2012
8,Tillsammans,2000
7,Chopper,2000
7,Wendy and Lucy,2008
8,Les valseuses,1974
8,Vals Im Bashir,2008
7,The Fugitive,1993
8,Snatch,2000
6,Pineapple Express,2008
7,An American Crime,2007
8,Babel,2006
6,Click,2006
5,Tekken,2009
5,Mortal Kombat,1995
6,The Cobbler,2014
7,Bitter Moon,1992
7,Basic Instinct,1992
7,Nine 1/2 Weeks,1985
5,Transformers: Age of Extinction,2014
6,The Fate of the Furious,2017
6,Populaire,2012
8,50/50,2011
6,How to Lose a Guy in 10 Days,2003
8,Biutiful,2009
5,Down with Love,2003
7,Demolition,2015
9,Das weiße Band - Eine deutsche Kindergeschichte,2009
6,Stellet Licht,2007
5,Without a Paddle,2004
6,The Hangover Part II,2011
8,La limita de jos a cerului,2013
6,Burn After Reading,2008
8,In Bruges,2007
7,Dom Hemingway,2013
7,Bronson,2008
7,Fish Tank,2009
6,Chozen,2014
6,White Material,2009
6,The Girl Next Door,2007
10,Dogville,2003
4,The Human Centipede (First Sequence),2009
6,Salò o le 120 giornate di Sodoma,1975
6,We Bought a Zoo,2011
6,This Is 40,2012
7,The Big Short,2015
5,The Hangover Part III,2013
7,,2004
9,Amores perros,2000
6,,2011
5,Dirty Deeds,2005
6,Caligula,1979
8,21 Grams,2003
8,Spotlight,2015
8,"I Love You, Man",2009
7,10 Things I Hate About You,1999
6,100 Girls,2000
9,Cidade de Deus,2002
8,The Grand Budapest Hotel,2014
7,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
7,The Incredibles,2004
8,Ex Machina,2015
6,Avatar,2009
9,The Pianist,2002
9,Gladiator,2000
8,Inside Out,2015
9,Eternal Sunshine of the Spotless Mind,2004
7,Assassin's Creed,2016
8,Broken Flowers,2005
8,Doubt,2008
7,The Oblongs...,2001-2002
6,The Road to El Dorado,2000
